Country,Year,Max_Partners,GDP_per_unit_CO2,PPP_Conv_Rate,PPP_Share_GDP,Imports_PC,Exports_PC,Govt_Revenue,gdp_per_cap,agri_perc_gdp,agg.empl.agri.perc,rural.pop.perc,pop.tot,mobilesub_per100peeps,intl_tourist_arrival,total_life_exp,life_expectancy_fe,life_exp_male,trade_perGDP,ISO_A3,cam,mean_light,mean_light_diff
Albania,1994,75,5.542105,26.714,0.023,0.0,0.0,-6.4239999999999995,1493.7902013673001,36.4107030664902,54.840999603271506,61.646,3207536.0,0.0,1062000.0,71.992,75.158,69.15,53.1025847356112,ALB,F121994,0.8159073253210255,0.5516382580084997
Albania,1995,75,6.905428999999999,28.74,0.024,0.0,0.0,-6.4239999999999995,1703.2867473347303,36.4107030664902,54.2569999694824,61.089,3187784.0,0.0,1062000.0,72.205,75.352,69.347,47.6105948729712,ALB,F121995,1.2534615911895077,0.43755426586848223
Albania,1996,75,7.47721,32.344,0.026000000000000002,-4.943727770177839,-9.512469220246238,-6.4239999999999995,1869.8712552067498,36.4107030664902,53.9580001831055,60.527,3168033.0,0.074224675,1062000.0,72.495,75.618,69.631,44.895427261101,ALB,F121996,1.456427363706987,0.20296577251747938
Albania,1997,72,8.689693,35.371,0.022000000000000002,-9.901,-19.051,-6.4239999999999995,1676.13193150228,31.5433425577314,54.4990005493164,59.965,3148281.0,0.10646013,1062000.0,72.83800000000001,75.931,69.982,45.42552334836721,ALB,F141997,1.672325549513321,0.2158981858063338
Albania,1998,88,7.673067,37.332,0.023,28.906999999999996,24.363000000000003,-0.863,1835.65196486823,28.7855755984545,53.7039985656738,59.398999999999994,3128530.0,0.18002483100000002,1062000.0,73.208,76.26899999999999,70.376,48.13748353540029,ALB,F141998,0.7456016085545858,-0.9267239409587351
Albania,1999,94,5.217429,37.574,0.025,38.743,88.95100000000001,-1.129,2085.43199967837,25.9188725068285,52.6510009765625,58.831,3108778.0,0.35251579,1062000.0,73.587,76.616,70.797,51.011071754770896,ALB,F141999,1.0240369236393547,0.27843531508476893
Albania,2000,92,5.288641,38.829,0.026000000000000002,-3.432,16.254,-1.8719999999999999,2244.63109245948,24.5153606554554,51.590999603271506,58.25899999999999,3089027.0,0.95201938615825,1062000.0,73.955,76.953,71.21600000000001,63.4540743986735,ALB,F152000,1.7918932504684002,0.7678563268290455
Albania,2001,99,5.476603,39.443,0.027000000000000003,23.272,23.9,-2.645,2453.63147595272,22.716196702944497,50.34700012207029,57.565,3060173.0,12.5459148852415,1062000.0,74.288,77.263,71.60600000000001,66.4910464537142,ALB,F152001,2.3594342640405794,0.5675410135721792
Albania,2002,104,4.922178,40.245,0.027999999999999997,11.868,3.878,-2.155,2572.7288372741396,22.025174781738702,49.4129981994629,56.498999999999995,3051010.0,27.2216601246183,1062000.0,74.579,77.538,71.95100000000001,68.5250379172273,ALB,F152002,2.2947036512361194,-0.06473061280446002
Albania,2003,120,5.096524,41.565,0.027999999999999997,8.408999999999999,9.51,-0.606,2725.17923301769,21.9782092040588,48.6150016784668,55.427,3039616.0,35.2787647814015,1062000.0,74.828,77.777,72.24600000000001,67.0206085093238,ALB,F152003,2.526915870767262,0.23221221953114268
Albania,2004,133,5.129076,41.752,0.027999999999999997,10.704,20.63,-1.31,2887.37865319206,20.5374568116515,47.90299987792971,54.349,3026939.0,40.5679166940428,1062000.0,75.039,77.982,72.493,67.047228208342,ALB,F162004,1.775739158250697,-0.7511767125165651
Albania,2005,137,5.670254,41.829,0.027999999999999997,8.434,6.026,-0.221,3062.68269833158,18.8452577928801,47.2140007019043,53.269,3011487.0,49.5736375092733,1062000.0,75.22800000000001,78.165,72.708,70.8723282677903,ALB,F162005,2.228396472147329,0.4526573138966319
Albania,2006,139,6.057061,41.607,0.027999999999999997,5.37,12.612,-0.39799999999999996,3263.91110765176,17.7083928445183,46.3129997253418,52.185,2992547.0,62.3529841943624,1062000.0,75.423,78.34899999999999,72.919,74.2670817296107,ALB,F162006,2.2118082529817666,-0.01658821916556219
Albania,2007,149,6.446473,42.296,0.028999999999999998,18.938,16.999000000000002,-0.535,3485.33244119722,17.1536228021036,45.4990005493164,51.098,2970017.0,76.54705111868891,1062000.0,75.646,78.551,73.156,83.20210078682771,ALB,F162007,2.2022803089155967,-0.009527944066169969
Albania,2008,151,7.05514,43.197,0.03,11.845,15.350999999999999,-1.9869999999999999,3775.59218159904,16.8370865333518,44.6559982299805,50.00899999999999,2947314.0,61.9324483011498,1247000.0,75.91199999999999,78.781,73.438,77.45174862949679,ALB,F162008,2.691975506100626,0.4896951971850294
Albania,2009,156,7.181127,43.907,0.031,-2.358,0.754,-3.4130000000000003,3928.4617316743397,16.7943875183526,44.051998138427706,48.924,2927519.0,82.86919686463192,1711000.0,76.221,79.03699999999999,73.76899999999999,75.09481855765091,ALB,F162009,2.8271032308184436,0.13512772471781753
Albania,2010,149,7.136544000000001,45.351,0.031,-8.558,10.279000000000002,-0.16399999999999998,4094.36211924475,17.955840249113802,42.0839996337891,47.836999999999996,2913021.0,91.32805273228871,2191000.0,76.562,79.30199999999999,74.145,76.5433552386804,ALB,F182010,2.365877621898277,-0.4612256089201665
Albania,2011,154,6.943631,45.452,0.03,3.468,1.765,-0.355,4209.88695135201,18.2267661844305,45.3880004882813,46.753,2905195.0,105.852914984402,2469000.0,76.914,79.554,74.55199999999999,81.2185639373984,ALB,F182011,3.5121327057533245,1.1462550838550474
Albania,2012,147,8.369643,45.061,0.03,-7.44,-2.221,-0.327,4276.6201801304705,18.7667991750788,46.042999267578104,45.67,2900401.0,120.105857871532,3156000.0,77.252,79.77,74.96600000000001,76.51020101890221,ALB,F182012,3.3209112096147693,-0.1912214961385552
Albania,2013,152,8.080214999999999,44.473,0.028999999999999998,-8.717,-9.908,-2.002,4327.39244877721,19.5651754766749,44.198001861572294,44.613,2895092.0,126.93696858243901,2857000.0,77.554,79.934,75.36399999999999,75.8737327762736,ALB,F182013,3.4423525110816615,0.12144130146689225
Algeria,1994,112,4.642666,7.98,0.515,6.1,-6.117999999999999,0.898,3182.49253916419,11.1083660171088,23.7210006713867,44.781000000000006,28213774.0,0.004777808,520000.0,68.194,69.76,66.664,48.58443778778089,DZA,F121994,0.47566434310786576,-0.030527442079455014
Algeria,1995,127,4.75595,10.145,0.515,2.0,5.733,2.559,3240.93616174685,11.1083660171088,23.5289993286133,44.003,28757785.0,0.016312105,520000.0,68.54,70.087,67.033,55.1910052081435,DZA,F121995,0.4315478532412878,-0.04411648986657796
Algeria,1996,139,4.99099,12.303,0.516,-13.3,5.749,6.891,3315.1810709545302,11.1083660171088,23.3199996948242,43.226000000000006,29266405.0,0.039977578,605000.0,68.919,70.441,67.441,53.70514787677939,DZA,F121996,0.5482930511671614,0.11674519792587362
Algeria,1997,133,4.946586,12.941,0.501,2.4,11.257,5.867999999999999,3297.94435053627,11.1083660171088,23.124000549316396,42.456,29742979.0,0.058501200999999996,635000.0,69.32300000000001,70.819,67.873,52.243911505938605,DZA,F141997,0.5340294323252751,-0.014263618841886316
Algeria,1998,134,5.060587,12.397,0.512,6.5,1.653,-1.331,3414.5052905858,11.1083660171088,22.6949996948242,41.687,30192754.0,0.059616953,678000.0,69.745,71.218,68.32,45.0944505585079,DZA,F141998,0.4077429394515339,-0.12628649287374122
Algeria,1999,136,4.931076,13.589,0.511,1.8,3.5180000000000002,1.054,3474.2153127436895,11.1083660171088,22.472000122070302,40.882,30623406.0,0.235114278,749000.0,70.183,71.638,68.78,50.9311015719095,DZA,F141999,0.42781518320350725,0.020072243751973362
Algeria,2000,159,5.0709029999999995,16.256,0.506,7.6,3.325,12.665999999999999,3557.5793329186,8.39639115250291,22.205999374389602,40.080999999999996,31042235.0,0.27704190758171904,866000.0,70.64,72.08,69.253,62.8637951105937,DZA,F152000,0.44888263149319535,0.021067448289688095
Algeria,2001,155,5.098375,15.832,0.509,11.2,-1.696,5.796,3616.62303741914,9.74923113319139,21.711000442504897,39.288000000000004,31451514.0,0.317949717778292,901000.0,71.116,72.542,69.744,58.708303761533,DZA,F152001,0.6042302070045029,0.15534757551130757
Algeria,2002,147,4.978961,15.791,0.522,23.2,5.797999999999999,2.755,3770.7663539742,9.224782204926369,21.7329998016357,38.499,31855109.0,1.41341220963959,988000.0,71.605,73.015,70.25,61.1373988413744,DZA,F152002,0.5541006965452232,-0.050129510459279714
Algeria,2003,155,5.053103,16.794,0.5379999999999999,-2.911,6.754,5.728,3991.0133617058796,9.81056639695383,21.716999053955103,37.716,32264157.0,4.48462670200867,1166000.0,72.101,73.491,70.765,62.12279866730129,DZA,F152003,0.5920833568693111,0.037982660324087925
Algeria,2004,163,5.170413,18.357,0.5329999999999999,21.906,2.7289999999999996,5.155,4108.12979868897,9.440405913060449,20.0559997558594,36.939,32692163.0,14.9345089219089,1234000.0,72.594,73.959,71.281,65.7006716430047,DZA,F162004,0.4792713065357315,-0.1128120503335796
Algeria,2005,166,5.186294999999999,20.674,0.539,6.292000000000001,4.954,13.4,4290.45998377322,7.6910870140174605,18.4340000152588,36.17,33149724.0,41.2110670966672,1443000.0,73.072,74.40899999999999,71.78399999999999,71.27743983073259,DZA,F162005,0.5436732516251253,0.06440194508939373
Algeria,2006,165,5.059143,22.186,0.52,-8.77,-3.0069999999999997,13.764000000000001,4299.67671260636,7.543019795575111,17.0259990692139,35.407,33641002.0,62.41774249173671,1638000.0,73.521,74.829,72.26100000000001,70.7277196861878,DZA,F162006,0.4846459987586064,-0.05902725286651883
Algeria,2007,161,4.97587,22.993,0.51,14.785,-1.882,6.465,4377.425591192,7.570832887843469,15.585000038147,34.652,34166972.0,80.6706576163671,1743000.0,73.936,75.215,72.702,71.93734630599809,DZA,F162007,0.5936303644479505,0.10898436568934405
Algeria,2008,165,4.905536,26.018,0.507,34.873000000000005,-3.568,9.4,4409.73848395896,6.58667994748042,14.3050003051758,33.903,34730608.0,77.831842160667,1772000.0,74.311,75.563,73.102,76.6858332956037,DZA,F162008,0.6703636382039693,0.0767332737560188
Algeria,2009,164,4.652391000000001,22.932,0.518,12.357000000000001,-8.443,-6.292999999999999,4403.79999716406,9.34261609301486,13.0159997940063,33.174,35333881.0,92.63014159129591,1912000.0,74.64399999999999,75.875,73.456,71.32309420864141,DZA,F162009,0.6423379209171555,-0.0280257172868138
Algeria,2010,170,4.766254,26.318,0.51,-1.781,-3.218,-0.507,4480.724539001129,8.466901279250129,11.8570003509521,32.46,35977455.0,91.1130734511377,2070000.0,74.938,76.152,73.766,69.8675717597612,DZA,F182010,0.5682493836294731,-0.07408853728768239
Algeria,2011,166,4.5579529999999995,30.502,0.503,5.468999999999999,-4.822,-1.335,4524.644811260529,8.11038680622674,10.770000457763699,31.764,36661444.0,97.14817842013589,2395000.0,75.199,76.403,74.036,67.4734554826681,DZA,F182011,0.9706120801766553,0.40236269654718226
Algeria,2012,167,4.317144,32.162,0.504,13.432,-3.6519999999999997,-5.306,4588.07113311753,8.77056613550978,10.692999839782699,31.085,37383887.0,100.384679017529,2634000.0,75.436,76.637,74.278,65.4038581360773,DZA,F182012,0.8342210614404932,-0.1363910187361621
Algeria,2013,172,4.303479,31.578,0.502,8.972000000000001,-6.394,-0.45,4623.017322187129,9.851092329963539,10.614999771118198,30.424,38140132.0,103.610139482209,2733000.0,75.661,76.863,74.502,63.611026015293206,DZA,F182013,0.9229382565048273,0.08871719506433406
Argentina,1994,145,4.47598,0.778,0.991,26.7,17.375,0.152,7988.644613610921,5.08266800031075,0.45199999213218706,12.04,34402672.0,0.701000783,2289000.0,72.453,75.902,69.014,18.134345866998103,ARG,F121994,0.46204351624495843,0.10675977455955737
Argentina,1995,150,4.633119000000001,0.786,0.929,-11.484000000000002,25.559,-0.42,7666.53000424516,5.351464616273001,0.6230000257492071,11.835999999999999,34828170.0,1.163985934,2289000.0,72.65100000000001,76.09,69.212,19.7714230903755,ARG,F121995,0.45160102284455844,-0.010442493400399988
Argentina,1996,152,4.227967,0.771,0.945,19.483,6.395,-0.996,7994.24337081722,5.610866113233611,0.7630000114440921,11.634,35246374.0,1.892449986,2614000.0,72.843,76.273,69.402,21.506468405721503,ARG,F121996,0.582405668205452,0.1308046453608936
Argentina,1997,158,4.252,0.755,0.981,30.046,15.133,0.261,8543.02853403286,5.22197210944516,0.7950000166893009,11.436,35657429.0,5.634374256,2764000.0,73.029,76.453,69.586,23.336178843743898,ARG,F141997,0.6839042022644714,0.10149853405901932
Argentina,1998,156,4.429069999999999,0.734,0.992,9.881,12.705,0.5379999999999999,8772.06320960578,5.25272256987623,0.7630000114440921,11.241,36063459.0,7.406006174,3012000.0,73.21300000000001,76.631,69.768,23.3500279730689,ARG,F141998,0.48573404945077675,-0.1981701528136946
Argentina,1999,147,4.466489,0.71,0.9259999999999999,-15.955,-2.148,-0.6779999999999999,8381.253998294978,4.45782610229152,0.741999983787537,11.048,36467218.0,10.55432581,2898000.0,73.396,76.808,69.94800000000001,21.3827449624898,ARG,F141999,0.5252165271825776,0.03948247773180086
Argentina,2000,158,4.3120400000000005,0.702,0.877,-2.407,1.867,0.41100000000000003,8224.112826513629,4.67991094417297,0.6729999780654911,10.857999999999999,36870787.0,17.5964510874151,2909000.0,73.57600000000001,76.982,70.128,22.622444777734298,ARG,F152000,0.5768718219879685,0.05165529480539088
Argentina,2001,160,4.626365,0.68,0.818,-16.629,6.132000000000001,-1.189,7776.137872066851,4.56858960891786,0.8330000042915341,10.671,37275652.0,18.0863127491372,2620000.0,73.755,77.155,70.307,21.8522554515453,ARG,F152001,0.7197234472313575,0.142851625243389
Argentina,2002,164,4.679752,0.87,0.7090000000000001,-53.553000000000004,0.23800000000000002,0.096,6854.29408086406,10.2066467144411,0.982999980449677,10.49,37681749.0,17.4268450225068,2820000.0,73.932,77.32600000000001,70.484,41.75272435856421,ARG,F152002,0.692344264639849,-0.02737918259150851
Argentina,2003,167,3.8488879999999996,0.945,0.742,48.933,5.016,2.9539999999999997,7380.467087328901,10.328166939117,1.39900004863739,10.314,38087868.0,20.589845039370502,2995000.0,74.107,77.49600000000001,70.661,40.6447480311085,ARG,F152003,0.7224096351917535,0.030065370551904502
Argentina,2004,177,3.730494,1.006,0.768,51.165,0.003,4.802,7962.4123091681595,8.36248661002826,1.4960000514984098,10.14,38491972.0,35.1044186564409,3457000.0,74.28,77.664,70.835,40.692646108947,ARG,F162004,0.5822950311503114,-0.14011460404144205
Argentina,2005,182,3.9818949999999997,1.076,0.797,18.375,11.55,4.999,8577.86499429459,7.93875427420939,1.27900004386902,9.96899999999999,38892931.0,56.967745629662105,3823000.0,74.45100000000001,77.831,71.008,40.5512709706238,ARG,F162005,0.6360402200580995,0.05374518890778801
Argentina,2006,180,4.050808999999999,1.188,0.818,12.966,4.559,2.98,9174.502458316609,6.93557229126392,1.05099999904633,9.8,39289878.0,80.1997654459502,4173000.0,74.62,77.99600000000001,71.179,40.433479871915104,ARG,F162006,0.5727032469982223,-0.06333697305987718
Argentina,2007,182,4.232892,1.33,0.846,22.201999999999998,5.96,1.6840000000000002,9901.51188115634,7.452353946069231,1.11899995803833,9.634,39684295.0,101.807959546717,4562000.0,74.78699999999999,78.16,71.347,40.945170618571,ARG,F162007,0.6830325616814041,0.11032931468318186
Argentina,2008,179,4.128146,1.607,0.855,14.597000000000001,-0.951,1.745,10201.4759370923,7.3189545972436,1.19500005245209,9.47,40080160.0,116.03939205831499,4700000.0,74.952,78.32300000000001,71.513,40.402673379038205,ARG,F162008,0.7435600014153569,0.060527439733952804
Argentina,2009,182,4.06291,1.84,0.8079999999999999,-23.858,-10.783,-1.2590000000000001,9502.24358504659,5.273623468901389,1.2309999465942398,9.309,40482788.0,129.642207448756,4308000.0,75.116,78.485,71.676,34.0571269054879,ARG,F162009,0.7586407789247374,0.015080777509380416
Argentina,2010,185,4.3493379999999995,2.199,0.845,39.414,13.702,-0.5870000000000001,10385.964431955501,7.13216745078964,1.2730000019073502,9.151,40788453.0,139.580017993067,6800000.0,75.278,78.646,71.837,34.9710132635696,ARG,F182010,0.7530680602284207,-0.005572718696316703
Argentina,2011,182,4.420517,2.665,0.86,21.578000000000003,2.292,-1.587,10883.315359489001,6.99873377022519,0.6359999775886539,9.010000000000009,41261490.0,146.955455524498,6703000.0,75.439,78.806,71.995,35.2061549999644,ARG,F182011,1.046694817650697,0.2936267574222763
